key,key:manager,tag,indication,cost,description
airport-26,manager-02,Lorem ipsum dolor sit amet,True,EUR 495000.00,"Esto es "
airport-27,manager-01,Lorem ipsum dolor sit amet,False,EUR 530000.00,"Esto es un texto de ejemplo"
airport-28,manager-02,Lorem ipsum dolor sit amet,True,EUR 460000.00,"Esto es un texto de ejemplo mas largo"
airport-29,manager-01,Lorem ipsum dolor sit amet,False,EUR 500000.00,"โลเร็ม อิปซัม"
airport-30,manager-02,Lorem ipsum dolor sit amet,True,EUR 490000.00,"لوريم إيبسوم"
airport-31,manager-01,Lorem ipsum dolor sit amet,True,EUR 505000.00,"洛伦·伊普森"
airport-32,manager-02,Lorem ipsum dolor sit amet,False,EUR 515000.00,"<marquee>Hacked</marquee>"
airport-33,manager-01,Lorem ipsum dolor sit amet,True,EUR 535000.00,"' or 'A' = 'A "
airport-34,manager-02,Lorem ipsum dolor sit amet,True,EUR 450000.00,"Esto es un texto de ejemplo aun mas largo para probar"
airport-35,manager-01,Lorem ipsum dolor sit amet,False,EUR 525000.00,"Probando un texto para valores singulares 1234 .-,$%&/()?¿!1ª"
airport-36,manager-02,Lorem ipsum dolor sit amet,True,EUR 475000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor"
airport-37,manager-01,Lorem ipsum dolor sit amet,True,EUR 515000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*"
